"id";"container_id";"pick_minfilllevel";"decrease";"code";"pick_at_utc";"percent_before";"percent_now";"event_driven"
"10073941";"30039";"30";"20";"0003/ 013C00501";"2018-12-14T13:22:24.000Z";"90";"12";"false"
"10073959";"30065";"30";"20";"0003/ 035C00552";"2018-12-14T13:22:27.000Z";"100";"15";"false"
"10076032";"30059";"30";"20";"0003/ 030C00541";"2018-12-14T17:23:03.000Z";"37";"5";"false"
"10081123";"30101";"30";"20";"0003/ 043C00615";"2018-12-15T09:01:06.000Z";"100";"14";"false"
"10081150";"29821";"30";"20";"0006/ 263C00234";"2018-12-15T09:01:12.000Z";"100";"15";"false"
"10081248";"30089";"30";"20";"0003/ 040C00595";"2018-12-15T09:25:29.000Z";"100";"3";"false"
"10083190";"30043";"30";"20";"0003/ 013C00505";"2018-12-15T13:01:50.000Z";"82";"8";"false"
"10083204";"30084";"30";"20";"0003/ 039C00585";"2018-12-15T13:01:52.000Z";"100";"14";"false"
"10083389";"30063";"30";"20";"0003/ 030C00545";"2018-12-15T13:26:13.000Z";"100";"8";"false"
"10084974";"30088";"30";"20";"0003/ 040C00594";"2018-12-15T17:02:26.000Z";"62";"11";"false"
"10094386";"30057";"30";"20";"0003/ 024C00533";"2018-12-16T17:06:07.000Z";"55";"28";"false"
"10109004";"29904";"30";"20";"0006/ 016C00211";"2018-12-17T09:07:22.000Z";"100";"25";"false"
"10109013";"29808";"30";"20";"0018/ 050C00473";"2018-12-17T09:08:35.000Z";"90";"28";"false"
"10109017";"29905";"30";"20";"0006/ 016C00212";"2018-12-17T09:08:37.000Z";"100";"0";"false"
"10109043";"29900";"30";"20";"0005/ 003C00131";"2018-12-17T09:08:43.000Z";"100";"22";"false"
"10109052";"30068";"30";"20";"0003/ 035C00555";"2018-12-17T09:08:44.000Z";"59";"0";"false"
"10109053";"29914";"30";"20";"0001/ 013C00061";"2018-12-17T09:08:44.000Z";"100";"5";"false"
"10109064";"29827";"30";"20";"0009/ 003C00264";"2018-12-17T09:08:48.000Z";"100";"22";"false"
"10109183";"30027";"30";"20";"0003/ 010C00481";"2018-12-17T09:32:58.000Z";"97";"22";"false"
"10109192";"30097";"30";"20";"0003/ 043C00611";"2018-12-17T09:33:04.000Z";"100";"17";"false"
"10110624";"29800";"30";"20";"0010/ 252C00425";"2018-12-17T11:05:08.000Z";"100";"8";"false"
"10111881";"30052";"30";"20";"0003/ 022C00522";"2018-12-17T13:09:16.000Z";"100";"20";"false"
"10111919";"29821";"30";"20";"0006/ 263C00234";"2018-12-17T13:09:23.000Z";"97";"29";"false"
"10111997";"29789";"30";"20";"0006/ 264C00204";"2018-12-17T13:33:41.000Z";"100";"15";"false"
"10112010";"30028";"30";"20";"0003/ 010C00482";"2018-12-17T13:33:48.000Z";"100";"13";"false"
"10112025";"30051";"30";"20";"0003/ 022C00521";"2018-12-17T13:35:35.000Z";"95";"1";"false"
"10112030";"30085";"30";"20";"0003/ 040C00591";"2018-12-17T13:35:41.000Z";"100";"27";"false"
"10114625";"30076";"30";"20";"0003/ 037C00571";"2018-12-17T17:09:57.000Z";"100";"5";"false"
"10114632";"30080";"30";"20";"0003/ 039C00581";"2018-12-17T17:09:59.000Z";"59";"18";"false"
"10119497";"30043";"30";"20";"0003/ 013C00505";"2018-12-18T05:11:51.000Z";"41";"20";"false"
